#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
21:28:47.993 -  INFO | ms-Credit= [ID:         ] [nnection(3)-127.0.0.1] | o.s.b.a.endpoint.web.EndpointLinksResolver    :  Exposing 3 endpoint(s) beneath base path '/actuator'
21:28:48.001 -  INFO | ms-Credit= [ID:         ] [nnection(3)-127.0.0.1] | o.s.web.servlet.DispatcherServlet             :  Completed initialization in 510 ms
21:28:48.089 -  INFO | ms-Credit= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Starting ProtocolHandler ["http-nio-9093"]
21:28:48.101 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat started on port(s): 9093 (http) with context path '/credit'
21:28:49.544 -  INFO | ms-Credit= [ID:         ] [                 main] | com.everis.credit.CreditApplication           :  Started CreditApplication in 7.19 seconds (JVM running for 8.442)
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Transac= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Transac= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
21:28:55.955 -  INFO | ms-Transac= [ID:         ] [                 main] | com.everis.transaction.TransactionApplication :  Starting TransactionApplication using Java 1.8.0_291 on LIM-5RNY0Z2 with PID 15316 (C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\transaction\target\classes started by jmagalmo in C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\transaction)
21:28:55.958 -  INFO | ms-Transac= [ID:         ] [                 main] | com.everis.transaction.TransactionApplication :  No active profile set, falling back to default profiles: default
21:28:55.999 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Fetching config from server at : http://localhost:8888
21:28:55.999 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Located environment: name=transaction, profiles=[default], label=null, version=null, state=null
21:28:56.712 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
21:28:56.726 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Finished Spring Data repository scanning in 9 ms. Found 0 Reactive MongoDB repository interfaces.
21:28:57.194 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.cloud.context.scope.GenericScope          :  BeanFactory id=61763166-8475-37b1-bd8a-193f4176b60c
21:28:57.631 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat initialized with port(s): 9094 (http)
21:28:57.694 -  INFO | ms-Transac= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Initializing ProtocolHandler ["http-nio-9094"]
21:28:57.695 -  INFO | ms-Transac= [ID:         ] [                 main] | org.apache.catalina.core.StandardService      :  Starting service [Tomcat]
21:28:57.695 -  INFO | ms-Transac= [ID:         ] [                 main] | org.apache.catalina.core.StandardEngine       :  Starting Servlet engine: [Apache Tomcat/9.0.46]
21:28:57.800 -  INFO | ms-Transac= [ID:         ] [                 main] | o.a.c.c.C.[Tomcat].[localhost].[/transaction] :  Initializing Spring embedded WebApplicationContext
21:28:57.801 -  INFO | ms-Transac= [ID:         ] [                 main] | .s.b.w.s.c.ServletWebServerApplicationContext :  Root WebApplicationContext: initialization completed in 1801 ms
